"","Oligodendrocytes","OPC","Astrocytes","Microglia","Endothelial","Excitatory","Inhibitory"
"PCBP3",-0.169876727753928,-0.173355106915523,-0.0477556644396229,0,0,0.240767056949306,0.201448776023195
"PPRC1",-0.0463421329781761,0,-0.00744824744886774,-0.00532054636393209,0,0.0837372337704567,0.00539535098918731
"PTBP1",-0.0973037925032638,-0.00071804193203473,-0.0488285477829824,-0.0236456789309363,0,0.175288929158725,0.0335453922158244
"QKI",1.62650946067947,-0.237532223716879,-0.303141481597035,-1.19607812737409,-1.35832758190536,-2.68778393029389,-1.12017665348214
"RALY",-0.0178642828362405,-0.181242130645315,-0.108568554096152,-0.068985695470976,0,0.226562478966313,-0.0746752472190217
"RBFOX1",-4.92153056166062,-2.60809541614486,-3.80674947649576,-4.01412715942361,-1.82262861267953,3.38302119912264,1.26560774320895
"RBM24",-0.161704099540266,-0.0888000242311016,-0.09760061638588,0,0,0.332647637800402,0
"RBM28",-0.311620985425382,0,0.215373592085929,-0.333785507929892,0,0,0.155667524693666
"RBM3",-0.113011734908336,0,0.0173620729052022,-0.044252528898685,0,0.153077770708367,0.0462932849636961
"RBM38",-0.0165694060911987,-0.00321754037043376,0.0307524425960368,0.00051497752743912,0,0.0195847062102357,-0.0207018525368576
"RBM4",-0.526985457869224,-0.146637700984468,-0.289477335289129,-0.328040653300549,-0.278105059980117,0.839597825544482,0.260053081511939
"RBM41",-0.293350993664806,0,-0.14470328024196,-0.207162848761707,-0.265698585419486,0.458210585053302,0.200857540489806
"RBM42",-0.0191664801686851,0,-0.0234982983251191,-0.0251046734776348,0,0.0514113115538632,0.0123662036571497
"RBM45",-0.189231888536764,0,-0.114193874607696,-0.17011363891205,0,0.328579926965641,0.13345694829263
"RBM46",-0.00387011021902794,-0.00144637230578515,0.00197138222943538,-0.00155134198552331,0,0.00504019989095483,0.00103226191285533
"RBM47",0,0,0,1.16815009341432,0.731207313169155,-0.0593220525814708,-0.0711605217190929
"RBM5",-0.316061817188442,-0.106612841599574,-0.207496746952549,-0.521598585080878,-0.327273320270301,0.694785971300327,0.0320691544476148
"RBM6",-0.96356535727809,-0.422766200984643,-0.245025708951483,-0.51213781392608,0,1.28196775876397,0.385847617092036
"RBM8A",-0.0980296050749281,0,0,0,0,0.212457347569067,0.0427395403745368
"RBMS1",-0.778839750994613,0.210186523803684,-0.509229354826659,0.0955064522093734,0.2900221830004,0.788177318766154,0.669735713364309
"RBMS3",-2.27437571453934,0.149870122338706,0.883157053392195,-1.64876316496344,0,-0.628859573267529,2.43437432086886
"RSF1",-0.736032970733103,-0.182362310257761,-0.22768179024957,-0.597709193169853,-0.519641900701549,1.06277749092572,0.301889035249008
"SAMD4A",-1.45268062488273,1.0004909342297,1.79021836091148,-0.70832998544077,0.58065914821792,-0.194283385251573,0.0477252353012187
"SART3",-0.271310603360173,-0.0976448043418792,-0.153273699117671,-0.164478299888113,0,0.467998012671033,0.160078152884773
"SF1",-0.0734400600686909,-0.205311548390358,0.0084200184417047,-0.343915076014234,0,0.301307188564204,-0.0875453979362162
"SFPQ",-0.512796010314091,0.0607297037456389,0.0884853588518948,-0.612911041944807,-0.506486049954575,0.704319381362786,0
"SNRNP70",-0.413513526549262,-0.220999402560231,-0.252791288757813,-0.590143050517354,-0.275564147443278,0.716645018653914,0.291885011027621
"SNRPA",-0.0536123861474049,0,-0.0340105945022471,-0.000551745165227047,0,0.0886214410201327,0.0441369287412645
